,trip_id,duration,start_station_id,end_station_id,plan_duration,bike_id,trip_route_category,passholder_type
0,4516691,600,3046.0,3041,30,3564,One Way,Indego30
1,4516692,1320,3028.0,3019,30,2629,One Way,Indego30
2,4516693,780,3007.0,3066,30,3430,One Way,Indego30
3,4516694,1320,3005.0,3064,0,3351,One Way,Walk-up
4,4516695,600,3045.0,3028,30,3715,One Way,Indego30
5,4516696,1260,3005.0,3064,0,3355,One Way,Walk-up
6,4516697,840,3005.0,3013,0,2636,One Way,Walk-up
7,4516698,1500,3046.0,3061,0,3720,One Way,Walk-up
8,4516699,1320,3046.0,3061,0,3344,One Way,Walk-up
9,4516700,1260,3046.0,3061,0,2497,One Way,Walk-up
10,4516701,840,3086.0,3066,30,3661,One Way,Indego30
11,4516702,840,3086.0,3066,30,2571,One Way,Indego30
12,4516703,840,3015.0,3063,30,3434,One Way,Indego30
13,4516704,2520,3023.0,3026,30,3725,One Way,Indego30
14,4516705,840,3041.0,3039,30,3287,One Way,Indego30
15,4516706,1860,3072.0,3051,0,3578,One Way,Walk-up
16,4516707,36000,3047.0,3077,30,2520,One Way,Indego30
17,4516708,1500,3047.0,3056,30,2645,One Way,Indego30
18,4516709,1020,3010.0,3069,30,3456,One Way,Indego30
19,4516710,600,3050.0,3037,0,2554,One Way,Walk-up
20,4516711,540,3050.0,3037,0,2664,One Way,Walk-up
21,4516712,1020,3018.0,3058,30,3426,One Way,Indego30
22,4516713,960,3018.0,3058,0,2509,One Way,Walk-up
23,4516714,1020,3046.0,3045,0,2587,One Way,Walk-up
24,4516715,240,3055.0,3046,30,2474,One Way,Indego30
25,4516716,360,3028.0,3025,30,3715,One Way,Indego30
26,4516717,120,3034.0,3025,30,3627,One Way,Indego30
27,4516718,300,3033.0,3037,30,2702,One Way,Indego30
28,4516719,420,3066.0,3068,0,3732,One Way,Walk-up
29,4516720,1980,3028.0,3006,365,3618,One Way,IndegoFlex
30,4516721,360,3075.0,3051,0,3660,One Way,Walk-up
31,4516722,1020,3030.0,3021,30,2694,One Way,Indego30
32,4516723,360,3075.0,3051,0,3724,One Way,Walk-up
33,4516724,1920,3028.0,3006,365,2525,One Way,IndegoFlex
34,4516725,1020,3033.0,3054,30,3436,One Way,Indego30
35,4516726,1260,3064.0,3046,0,3355,One Way,Walk-up
36,4516727,1200,3064.0,3046,0,3542,One Way,Walk-up
37,4516728,86400,3064.0,3047,0,3394,One Way,Walk-up
38,4516729,720,3026.0,3072,30,3725,One Way,Indego30
39,4516730,840,3059.0,3056,0,2719,One Way,Walk-up
40,4516731,720,3059.0,3056,0,3475,One Way,Walk-up
41,4516732,540,3052.0,3068,0,3429,One Way,Walk-up
42,4516733,480,3052.0,3068,0,3363,One Way,Walk-up
43,4516734,360,3046.0,3026,30,2474,One Way,Indego30
44,4516735,720,3050.0,3014,0,3359,One Way,Walk-up
45,4516736,660,3050.0,3014,0,2521,One Way,Walk-up
46,4516737,1920,3041.0,3010,0,2557,One Way,Walk-up
47,4516738,1440,3041.0,3030,30,3564,One Way,Indego30
48,4516739,840,3088.0,3007,30,3533,One Way,Indego30
49,4516740,840,3088.0,3007,0,3693,One Way,Walk-up
50,4516741,31560,3073.0,3036,0,2476,One Way,Walk-up
51,4516742,31500,3073.0,3036,0,3532,One Way,Walk-up
52,4516743,1140,3018.0,3034,0,3463,One Way,Walk-up
53,4516744,600,3033.0,3023,0,3504,One Way,Walk-up
54,4516745,1140,3018.0,3034,0,2500,One Way,Walk-up
55,4516746,540,3033.0,3023,0,3726,One Way,Walk-up
56,4516747,420,3031.0,3056,30,3376,One Way,Indego30
57,4516748,960,3025.0,3060,0,3731,One Way,Walk-up
58,4516749,840,3019.0,3018,0,3483,One Way,Walk-up
59,4516750,960,3023.0,3006,0,2480,One Way,Walk-up
60,4516751,600,3073.0,3040,0,3582,One Way,Walk-up
61,4516752,900,3025.0,3060,0,3654,One Way,Walk-up
62,4516753,240,3056.0,3039,30,2502,One Way,Indego30
63,4516754,1380,3052.0,3070,0,3555,One Way,Walk-up
64,4516755,480,3073.0,3040,0,3577,One Way,Walk-up
65,4516756,1320,3052.0,3070,0,3440,One Way,Walk-up
66,4516757,35100,3026.0,3072,0,2656,One Way,Walk-up
67,4516758,720,3041.0,3041,0,2935,Round Trip,Walk-up
68,4516759,660,3026.0,3072,0,2474,One Way,Walk-up
69,4516760,660,3041.0,3041,0,3673,Round Trip,Walk-up
70,4516761,780,3013.0,3051,0,2663,One Way,Walk-up
71,4516762,840,3041.0,3041,0,3560,Round Trip,Walk-up
72,4516763,480,3041.0,3041,0,2558,Round Trip,Walk-up
73,4516765,3060,3041.0,3012,30,2638,One Way,Indego30
74,4516766,960,3074.0,3058,0,3525,One Way,Walk-up
75,4516767,420,3060.0,3023,30,3329,One Way,Indego30
76,4516769,660,3009.0,3078,0,3356,One Way,Walk-up
77,4516770,20460,3009.0,3078,0,3378,One Way,Walk-up
78,4516771,2100,3072.0,3029,30,3725,One Way,Indego30
79,4516772,720,3023.0,3062,30,3695,One Way,Indego30
80,4516773,480,3009.0,3078,0,3629,One Way,Walk-up
81,4516774,600,3045.0,3025,30,3286,One Way,Indego30
82,4516775,420,3052.0,3046,30,2528,One Way,Indego30
83,4516776,960,3005.0,3064,30,2660,One Way,Indego30
84,4516777,540,3030.0,3012,0,3666,One Way,Walk-up
85,4516778,1260,3041.0,3059,0,2558,One Way,Walk-up
86,4516779,1200,3041.0,3059,0,2935,One Way,Walk-up
87,4516780,780,3088.0,3075,0,3706,One Way,Walk-up
88,4516781,30240,3088.0,3077,30,3319,One Way,Indego30
89,4516782,360,3052.0,3026,30,3446,One Way,Indego30
90,4516783,30180,3088.0,3077,0,3505,One Way,Walk-up
91,4516784,960,3041.0,3059,0,3673,One Way,Walk-up
92,4516785,2400,3012.0,3012,0,3678,Round Trip,Walk-up
93,4516786,2400,3012.0,3012,0,2703,Round Trip,Walk-up
94,4516787,840,3018.0,3051,30,3483,One Way,Indego30
95,4516788,2160,3012.0,3012,0,3666,Round Trip,Walk-up
96,4516789,360,3066.0,3007,30,3552,One Way,Indego30
97,4516790,780,3059.0,3032,30,2548,One Way,Indego30
98,4516791,360,3059.0,3058,0,3489,One Way,Walk-up
99,4516792,1860,3028.0,3056,30,2549,One Way,Indego30
100,4516793,360,3032.0,3063,0,3464,One Way,Walk-up
101,4516794,660,3066.0,3047,30,2571,One Way,Indego30
102,4516795,360,3086.0,3063,30,2681,One Way,Indego30
103,4516797,900,3062.0,3023,30,3695,One Way,Indego30
104,4516798,19740,3045.0,3053,30,3597,One Way,Indego30
105,4516799,540,3017.0,3056,30,2653,One Way,Indego30
106,4516800,480,3022.0,3032,0,2684,One Way,Walk-up
107,4516801,480,3022.0,3032,365,2698,One Way,IndegoFlex
108,4516802,360,3055.0,3028,0,3529,One Way,Walk-up
109,4516803,9720,3039.0,3024,30,2673,One Way,Indego30
110,4516804,300,3052.0,3037,30,3439,One Way,Indego30
111,4516805,480,3086.0,3018,30,3476,One Way,Indego30
112,4516806,600,3023.0,3038,30,3329,One Way,Indego30
113,4516807,540,3034.0,3047,30,3463,One Way,Indego30
114,4516808,1080,3041.0,3040,30,2709,One Way,Indego30
115,4516809,240,3020.0,3032,30,3423,One Way,Indego30
116,4516810,1320,3058.0,3004,0,2509,One Way,Walk-up
117,4516811,1260,3058.0,3004,0,3525,One Way,Walk-up
118,4516812,300,3073.0,3059,30,2625,One Way,Indego30
119,4516813,1200,3058.0,3004,0,3426,One Way,Walk-up
120,4516814,1200,3058.0,3004,0,3676,One Way,Walk-up
121,4516815,960,3038.0,3068,30,3691,One Way,Indego30
122,4516816,720,3030.0,3004,0,3657,One Way,Walk-up
123,4516817,840,3024.0,3035,30,3665,One Way,Indego30
124,4516818,480,3066.0,3020,30,3661,One Way,Indego30
125,4516819,240,3054.0,3021,30,3584,One Way,Indego30
126,4516820,2940,3088.0,3021,30,2640,One Way,Indego30
127,4516821,420,3066.0,3022,30,3430,One Way,Indego30
128,4516822,600,3054.0,3033,30,3494,One Way,Indego30
129,4516823,360,3025.0,3064,365,2620,One Way,IndegoFlex
130,4516824,900,3011.0,3045,30,3588,One Way,Indego30
131,4516825,1140,3046.0,3072,0,3542,One Way,Walk-up
132,4516826,360,3023.0,3052,30,3504,One Way,Indego30
133,4516827,180,3073.0,3070,0,3668,One Way,Walk-up
134,4516828,300,3063.0,3007,30,2650,One Way,Indego30
135,4516829,600,3068.0,3023,0,3544,One Way,Walk-up
136,4516840,1140,3069.0,3010,30,3335,One Way,Indego30
137,4516841,1200,3057.0,3057,0,2479,Round Trip,Walk-up
138,4516842,720,3028.0,3049,30,3529,One Way,Indego30
139,4516843,3480,3035.0,3036,30,3589,One Way,Indego30
140,4516844,600,3074.0,3061,30,3281,One Way,Indego30
141,4516845,3300,3037.0,3053,30,2554,One Way,Indego30
142,4516846,1680,3070.0,3004,0,3555,One Way,Walk-up
143,4516847,1620,3070.0,3004,0,2672,One Way,Walk-up
144,4516848,660,3073.0,3018,0,3416,One Way,Walk-up
145,4516849,480,3066.0,3022,365,3320,One Way,IndegoFlex
146,4516850,240,3015.0,3052,30,3454,One Way,Indego30
147,4516851,1020,3034.0,3021,30,2500,One Way,Indego30
148,4516852,240,3007.0,3028,30,3693,One Way,Indego30
149,4516853,120,3051.0,3058,30,3724,One Way,Indego30
150,4516854,120,3051.0,3058,30,3453,One Way,Indego30
151,4516855,3840,3010.0,3028,30,2478,One Way,Indego30
152,4516856,1920,3022.0,3086,365,3430,One Way,IndegoFlex
153,4516857,180,3052.0,3015,30,3454,One Way,Indego30
154,4516858,1380,3028.0,3028,30,3383,Round Trip,Indego30
155,4516859,240,3075.0,3039,30,3656,One Way,Indego30
156,4516860,660,3028.0,3072,365,3693,One Way,IndegoFlex
157,4516861,900,3046.0,3069,30,3714,One Way,Indego30
158,4516862,420,3051.0,3059,30,3508,One Way,Indego30
159,4516863,1200,3053.0,3045,30,2554,One Way,Indego30
160,4516864,780,3058.0,3018,0,3628,One Way,Walk-up
161,4516865,660,3026.0,3007,30,3541,One Way,Indego30
162,4516866,720,3058.0,3018,0,3724,One Way,Walk-up
163,4516867,480,3032.0,3028,30,3449,One Way,Indego30
164,4516868,600,3026.0,3007,0,3507,One Way,Walk-up
165,4516869,1200,3020.0,3078,0,3391,One Way,Walk-up
166,4516870,1140,3020.0,3078,0,3661,One Way,Walk-up
167,4516871,780,3051.0,3063,30,2663,One Way,Indego30
168,4516872,480,3025.0,3026,0,4722,One Way,Walk-up
169,4516873,660,3007.0,3050,30,2650,One Way,Indego30
170,4516874,660,3032.0,3025,0,3423,One Way,Walk-up
171,4516875,5040,3057.0,3057,0,3295,Round Trip,Walk-up
172,4516876,660,3039.0,3004,30,3287,One Way,Indego30
173,4516877,4860,3060.0,3049,0,3654,One Way,Walk-up
174,4516878,4800,3060.0,3049,0,3731,One Way,Walk-up
175,4516879,240,3066.0,3032,30,3691,One Way,Indego30
176,4516880,1500,3037.0,3053,30,3543,One Way,Indego30
177,4516881,1140,3033.0,3034,30,3641,One Way,Indego30
178,4516882,300,3068.0,3064,30,2567,One Way,Indego30
179,4516883,480,3022.0,3029,30,3324,One Way,Indego30
180,4516884,2520,3028.0,3088,30,2478,One Way,Indego30
181,4516885,1200,3071.0,3030,30,3670,One Way,Indego30
182,4516886,1500,3086.0,3086,30,3612,Round Trip,Indego30
183,4516887,480,3031.0,3077,0,2562,One Way,Walk-up
184,4516888,1080,3069.0,3013,0,3471,One Way,Walk-up
185,4516889,1260,3047.0,3066,30,2571,One Way,Indego30
186,4516890,1200,3068.0,3036,0,3732,One Way,Walk-up
187,4516891,720,3064.0,3064,30,3310,Round Trip,Indego30
188,4516892,840,3013.0,3007,0,2636,One Way,Walk-up
189,4516893,540,3063.0,3015,30,2681,One Way,Indego30
190,4516894,180,3050.0,3037,30,2650,One Way,Indego30
191,4516895,1200,3022.0,3010,0,3320,One Way,Walk-up
192,4516896,1140,3022.0,3010,0,3457,One Way,Walk-up
193,4516897,600,3054.0,3004,0,3436,One Way,Walk-up
194,4516898,480,3058.0,3018,0,3345,One Way,Walk-up
195,4516901,1320,3025.0,3026,0,3286,One Way,Walk-up
196,4516904,1320,3025.0,3026,0,3423,One Way,Walk-up
197,4516905,420,3075.0,3004,30,3447,One Way,Indego30
198,4516906,420,3075.0,3004,30,3706,One Way,Indego30
199,4516911,660,3056.0,3004,30,2631,One Way,Indego30
200,4516912,1020,3012.0,3069,30,2703,One Way,Indego30
201,4516915,1740,3012.0,3023,0,3615,One Way,Walk-up
202,4516917,1620,3012.0,3023,0,2671,One Way,Walk-up
203,4516918,420,3073.0,3033,30,2723,One Way,Indego30
204,4516919,360,3029.0,3022,30,3421,One Way,Indego30
205,4516920,360,3064.0,3064,30,2567,Round Trip,Indego30
206,4516921,1620,3012.0,3023,0,2632,One Way,Walk-up
207,4516922,480,3023.0,3054,30,3441,One Way,Indego30
208,4516923,1200,3025.0,3072,0,2677,One Way,Walk-up
209,4516924,1140,3025.0,3072,0,3408,One Way,Walk-up
210,4516925,1620,3018.0,3057,0,3416,One Way,Walk-up
211,4516926,1560,3018.0,3057,0,3724,One Way,Walk-up
212,4516927,1680,3075.0,3012,0,3636,One Way,Walk-up
213,4516928,2520,3057.0,3057,0,3538,Round Trip,Walk-up
214,4516929,660,3026.0,3052,0,4722,One Way,Walk-up
215,4516930,2160,3049.0,3010,30,3690,One Way,Indego30
216,4516931,1560,3075.0,3012,0,3300,One Way,Walk-up
217,4516932,1500,3075.0,3012,0,3492,One Way,Walk-up
218,4516933,1500,3075.0,3012,0,3340,One Way,Walk-up
219,4516934,660,3028.0,3069,30,3383,One Way,Indego30
220,4516936,120,3012.0,3032,30,3666,One Way,Indego30
221,4516937,840,3069.0,3023,30,2696,One Way,Indego30
222,4516938,420,3066.0,3022,0,3443,One Way,Walk-up
223,4516939,5040,3073.0,3000,30,2472,One Way,Indego30
224,4516940,1140,3034.0,3010,30,2689,One Way,Indego30
225,4516941,840,3051.0,3021,30,3595,One Way,Indego30
226,4516942,780,3051.0,3037,30,3735,One Way,Indego30
227,4516943,120,3032.0,3012,30,3554,One Way,Indego30
228,4516944,2280,3026.0,3050,30,3277,One Way,Indego30
229,4516945,2280,3026.0,3050,30,3571,One Way,Indego30
230,4516946,1140,3036.0,3046,30,3589,One Way,Indego30
231,4516947,420,3059.0,3051,0,2527,One Way,Walk-up
232,4516948,1260,3054.0,3028,30,3649,One Way,Indego30
233,4516949,1260,3054.0,3028,30,2683,One Way,Indego30
234,4516950,840,3050.0,3016,30,2668,One Way,Indego30
235,4516951,1560,3075.0,3066,30,2693,One Way,Indego30
236,4516952,1980,3026.0,3050,30,3299,One Way,Indego30
237,4516953,4680,3014.0,3057,0,3359,One Way,Walk-up
238,4516954,540,3014.0,3057,0,2521,One Way,Walk-up
239,4516955,540,3061.0,3037,30,3361,One Way,Indego30
240,4516956,480,3051.0,3060,0,3660,One Way,Walk-up
241,4516957,480,3051.0,3060,30,3483,One Way,Indego30
242,4516958,420,3012.0,3023,30,2513,One Way,Indego30
243,4516959,660,3039.0,3004,30,2679,One Way,Indego30
244,4516960,1620,3058.0,3027,0,3489,One Way,Walk-up
245,4516961,480,3068.0,3026,30,3429,One Way,Indego30
246,4516962,780,3043.0,3045,0,3716,One Way,Walk-up
247,4516963,1080,3012.0,3021,30,2638,One Way,Indego30
248,4516964,1080,3069.0,3086,30,3527,One Way,Indego30
249,4516965,660,3045.0,3012,30,2554,One Way,Indego30
250,4516966,5280,3012.0,3021,0,3636,One Way,Walk-up
251,4516967,240,3054.0,3051,30,2634,One Way,Indego30
252,4516968,1680,3057.0,3063,0,3724,One Way,Walk-up
253,4516969,660,3016.0,3008,30,3468,One Way,Indego30
254,4516971,1620,3057.0,3063,0,2479,One Way,Walk-up
255,4516972,1620,3057.0,3063,0,3416,One Way,Walk-up
256,4516973,600,3057.0,3012,30,3341,One Way,Indego30
257,4516974,1560,3057.0,3063,0,3295,One Way,Walk-up
258,4516975,360,3040.0,3070,30,3688,One Way,Indego30
259,4516976,420,3059.0,3051,30,3521,One Way,Indego30
260,4516977,1080,3013.0,3045,0,2504,One Way,Walk-up
261,4516978,1500,3030.0,3026,30,2726,One Way,Indego30
